time,latitude,longitude,number,expver,Star_Event,PM25,PM10,Ratio
2025-10-14 22:00:00,56.19999999999996,-4.900000000000011,0,0001,1.0,2.985376875338445e-08,3.1540985342048305e-08,0.9465071693110814
2025-10-14 22:00:00,56.19999999999996,-4.800000000000011,0,0001,1.0,3.215563385931721e-08,3.3962611537915006e-08,0.9467950903427866
2025-10-14 22:00:00,56.19999999999996,-4.700000000000012,0,0001,1.0,3.477562497226861e-08,3.655319217681028e-08,0.9513703975307147
2025-10-14 22:00:00,56.19999999999996,-4.600000000000012,0,0001,1.0,3.739561608522004e-08,3.914377281570558e-08,0.9553401063633771
2025-10-14 22:00:00,56.19999999999996,-4.500000000000012,0,0001,1.0,4.0015607198171494e-08,4.173435345460088e-08,0.9588169909401122
2025-10-14 22:00:00,56.19999999999996,-4.400000000000013,0,0001,1.0,4.263559831112294e-08,4.432493409349619e-08,0.9618874609309092
2025-10-14 22:00:00,56.19999999999996,-4.300000000000013,0,0001,1.0,4.4250840325338426e-08,4.587810416753127e-08,0.9645307086742158
2025-10-14 22:00:00,56.09999999999996,-4.800000000000011,0,0001,1.0,3.9757421577139274e-08,4.153582329932112e-08,0.9571839058211009
2025-10-14 22:00:00,55.69999999999995,-2.600000000000013,0,0001,1.0,2.3952985557978866e-08,2.5002259855057685e-08,0.9580328217064521
2025-10-14 22:00:00,55.69999999999995,-2.500000000000013,0,0001,1.0,2.2379228488872998e-08,2.3475993167949126e-08,0.9532814364346681
2025-10-14 23:00:00,56.09999999999996,-4.000000000000014,0,0001,1.0,6.129340490713166e-08,6.265395639341998e-08,0.9782846676474016
2025-10-14 23:00:00,56.09999999999996,-3.700000000000014,0,0001,1.0,6.236183289210455e-08,6.345687984336872e-08,0.9827434479292539
2025-10-14 23:00:00,56.09999999999996,-3.600000000000014,0,0001,1.0,6.271797555376209e-08,6.372452099335156e-08,0.9842047390251158
2025-10-14 23:00:00,56.09999999999996,-3.5000000000000138,0,0001,1.0,6.068289857645582e-08,6.166104440005305e-08,0.9841367295491934
2025-10-14 23:00:00,56.09999999999996,-3.4000000000000137,0,0001,1.0,5.864782159914904e-08,5.959756780675407e-08,0.9840640106206248
2025-10-14 23:00:00,55.99999999999996,-3.5000000000000138,0,0001,1.0,6.854855209384847e-08,6.945283999766565e-08,0.9869798282712763
2025-10-14 23:00:00,55.99999999999996,-3.4000000000000137,0,0001,1.0,6.555437156070785e-08,6.643829915849129e-08,0.9866955113394039
2025-10-14 23:00:00,55.69999999999995,-2.600000000000013,0,0001,1.0,2.4044681893688484e-08,2.5103309227630826e-08,0.9578291720687914
2025-10-14 23:00:00,55.69999999999995,-2.500000000000013,0,0001,1.0,2.24705646404779e-08,2.3579100015083408e-08,0.952986527310356
2025-10-14 23:00:00,55.69999999999995,-2.400000000000013,0,0001,1.0,2.0896447387267312e-08,2.205489080253598e-08,0.9474745340776992
2025-10-14 23:00:00,55.59999999999995,-2.500000000000013,0,0001,1.0,1.992605710062349e-08,2.1179888361662322e-08,0.9408008559993929
2025-10-14 23:00:00,55.59999999999995,-2.400000000000013,0,0001,1.0,1.9546951760910327e-08,2.087834453471711e-08,0.936230922351487
2025-10-14 23:00:00,55.59999999999995,-2.3000000000000127,0,0001,1.0,1.770947261059425e-08,1.9226252090387445e-08,0.9211089362262372
2025-10-15 00:00:00,56.09999999999996,-3.600000000000014,0,0001,1.0,6.309162703388929e-08,6.413100095415336e-08,0.9837929565296024
2025-10-15 00:00:00,56.09999999999996,-3.5000000000000138,0,0001,1.0,6.118870388150322e-08,6.219592973977703e-08,0.9838055984935353
2025-10-15 00:00:00,55.99999999999996,-3.600000000000014,0,0001,1.0,7.206455165941697e-08,7.301861160157678e-08,0.9869340169412477
2025-10-15 00:00:00,55.99999999999996,-3.5000000000000138,0,0001,1.0,6.916767780750798e-08,7.009791680445142e-08,0.986729434491777
2025-10-15 00:00:00,55.99999999999996,-3.4000000000000137,0,0001,1.0,6.627080395559851e-08,6.71772220073256e-08,0.9865070625929092
2025-10-15 01:00:00,56.09999999999996,-3.600000000000014,0,0001,1.0,6.001685811293338e-08,6.102087540816233e-08,0.9835463308496776
2025-10-15 01:00:00,55.99999999999996,-3.800000000000014,0,0001,1.0,6.967257593081925e-08,7.075771287408405e-08,0.9846640472227269
2025-10-15 01:00:00,55.99999999999996,-3.700000000000014,0,0001,1.0,6.920421365592905e-08,7.021253830193037e-08,0.9856389660538223
2025-10-15 01:00:00,55.99999999999996,-3.600000000000014,0,0001,1.0,6.873585138103886e-08,6.96673637297767e-08,0.9866291431329172
2025-10-15 01:00:00,55.99999999999996,-3.5000000000000138,0,0001,1.0,6.595809628102922e-08,6.686636030057936e-08,0.9864167271036244
2025-10-15 02:00:00,55.99999999999996,-3.700000000000014,0,0001,1.0,6.574602677092868e-08,6.672459799498155e-08,0.9853341757993586
2025-10-15 02:00:00,55.99999999999996,-3.600000000000014,0,0001,1.0,6.540715110266077e-08,6.631611585797663e-08,0.9862934560693737
2025-10-15 02:00:00,55.99999999999996,-3.5000000000000138,0,0001,1.0,6.274851475455042e-08,6.363480379670725e-08,0.9860722593725874
2025-10-15 02:00:00,55.899999999999956,-3.700000000000014,0,0001,1.0,5.716443749840158e-08,5.8141346700082884e-08,0.9831976853456698
