time,latitude,longitude,number,expver,Axis_Type,PM25_Center,PM10_Center,PM25_In_Step1,PM10_In_Step1,PM25_Out_Step1,PM10_Out_Step1,PM25_In_Step2,PM10_In_Step2,PM25_Out_Step2,PM10_Out_Step2,PM25_In_Step3,PM10_In_Step3,PM25_Out_Step3,PM10_Out_Step3
2025-06-30 03:00:00,53.49999999999992,-2.9000000000000132,0,0001,1.0,2.1185461468450015e-08,2.294550965897428e-08,2.1185461468450015e-08,2.2945509658974283e-08,2.118546146845001e-08,2.294550965897428e-08,1.8459483414056332e-08,2.0110553666795735e-08,2.004788823145262e-08,2.1865270066753086e-08,1.5733505359661116e-08,1.727559767461563e-08,1.8910314994455084e-08,2.0785030474531746e-08
2025-06-30 04:00:00,53.89999999999993,-2.9000000000000132,0,0001,1.0,1.7429260590342058e-08,1.9519987478253977e-08,1.7429260590342055e-08,1.9519987478253977e-08,1.7429260590342058e-08,1.9519987478253977e-08,1.7865127266426718e-08,1.9915665450122308e-08,1.6743964779502957e-08,1.8957172572462646e-08,1.8300993942509218e-08,2.031134342198832e-08,1.6058668968663757e-08,1.839435766667122e-08
2025-06-30 04:00:00,53.89999999999993,-2.800000000000013,0,0001,1.0,1.8493051016460784e-08,2.025753875756433e-08,1.8493051016460784e-08,2.0257538757564335e-08,1.7807755205621676e-08,1.9694723851772996e-08,1.9074289518233616e-08,2.0820028516038557e-08,1.712245939478244e-08,1.9131908945981542e-08,1.965552802000393e-08,2.1382518274510136e-08,1.64371635839432e-08,1.8569094040190088e-08
2025-06-30 04:00:00,53.799999999999926,-2.9000000000000132,0,0001,1.0,1.9482052341740315e-08,2.1570298584333444e-08,1.948205234174032e-08,2.1570298584333444e-08,1.948205234174032e-08,2.1570298584333447e-08,1.9482052341737754e-08,2.1570298584330767e-08,1.8599479752654707e-08,2.0783708235921733e-08,1.733754403006663e-08,1.927444988799099e-08,1.771690716356898e-08,1.9997117887509903e-08
2025-06-30 04:00:00,53.799999999999926,-2.800000000000013,0,0001,1.0,2.099797772696114e-08,2.2794219844970408e-08,2.099797772696114e-08,2.2794219844970408e-08,2.0115405137875525e-08,2.2007629496558684e-08,2.099797772695809e-08,2.2794219844967248e-08,1.9232832548789735e-08,2.1221039148146808e-08,1.8511150797390468e-08,2.01811262516083e-08,1.8350259959703942e-08,2.0434448799734932e-08
2025-06-30 04:00:00,53.699999999999925,-2.800000000000013,0,0001,1.0,2.35029044374615e-08,2.5330900932376485e-08,2.3502904437458445e-08,2.533090093237332e-08,2.2423055070129368e-08,2.4320535141344372e-08,2.0434839006117996e-08,2.2155317580540147e-08,2.1343205702797024e-08,2.3310169350312074e-08,1.7366773574777542e-08,1.8979734228706975e-08,2.0263356335464687e-08,2.2299803559279776e-08
2025-06-30 04:00:00,53.59999999999992,-2.800000000000013,0,0001,1.0,2.600783114795575e-08,2.7867582019776235e-08,2.2939765716618352e-08,2.4691998667946223e-08,2.4730705002377496e-08,2.6633440786124157e-08,1.98717002852779e-08,2.151641531611305e-08,2.3453578856798993e-08,2.5399299552471834e-08,1.680363485393745e-08,1.8340831964279874e-08,2.217645271122049e-08,2.4165158318819518e-08
2025-06-30 04:00:00,51.699999999999896,-2.9000000000000132,0,0001,1.0,1.0301635026503867e-08,1.1706973316687363e-08,1.0301635026503222e-08,1.1706973316686714e-08,1.0301635026503867e-08,1.1706973316687363e-08,9.82580838915228e-09,1.1228735867045235e-08,1.0007374595667003e-08,1.1348967950594293e-08,9.34998175180134e-09,1.0750498417403758e-08,9.71311416483014e-09,1.0990962584501226e-08
2025-06-30 07:00:00,53.49999999999992,-3.0000000000000133,0,0001,1.0,1.7089545334411777e-08,1.934469136728907e-08,1.7089545334411777e-08,1.9344691367289066e-08,1.7089545334411777e-08,1.9344691367289073e-08,1.5320502514773542e-08,1.7483920718614786e-08,1.708954533441183e-08,1.934469136728912e-08,1.3551459695134331e-08,1.562315006993953e-08,1.642979858643839e-08,1.8638021385498685e-08
2025-06-30 12:00:00,54.89999999999994,-7.600000000000001,0,0001,1.0,5.592149410204574e-09,7.618561781440806e-09,5.592149410204772e-09,7.618561781441119e-09,5.4570455931818366e-09,7.4478133660340715e-09,5.845645079105202e-09,8.019036989991812e-09,5.3219417761590915e-09,7.277064950627326e-09,6.099140748005633e-09,8.419512198542503e-09,5.186837959136346e-09,7.106316535220581e-09
