time,latitude,longitude,number,expver,Star_Event,PM25_Step0,PM10_Step0,PM25_Step1,PM10_Step1,PM25_Step2,PM10_Step2,PM25_Step3,PM10_Step3
2025-06-18 16:00:00,52.49999999999991,1.0999999999999883,0,0001,1.0,7.550440254504548e-09,8.946614467783441e-09,7.55044025450436e-09,8.946614467783256e-09,7.3692637594014455e-09,8.801797508432875e-09,7.188087264298543e-09,8.656980549082513e-09
2025-06-18 16:00:00,52.399999999999906,1.0999999999999883,0,0001,1.0,8.244016950579616e-09,9.745044401062401e-09,8.087184648804856e-09,9.590464251456101e-09,7.815038792029036e-09,9.323847037039029e-09,7.542892935253218e-09,9.057229822621962e-09
2025-06-18 16:00:00,52.0999999999999,0.7999999999999883,0,0001,1.0,6.458448146655079e-09,7.57913494927249e-09,6.5598757167016275e-09,7.718752331742586e-09,6.6979317092654365e-09,7.899514264942076e-09,6.8359877018292464e-09,8.080276198141569e-09
2025-06-18 16:00:00,52.0999999999999,0.8999999999999883,0,0001,1.0,7.119885236939243e-09,8.48121410138949e-09,7.119885236939317e-09,8.48121410138957e-09,7.26498905941539e-09,8.662649898331638e-09,7.410092881891461e-09,8.844085695273707e-09
2025-06-18 16:00:00,51.9999999999999,0.5999999999999883,0,0001,1.0,6.118530275027685e-09,7.0969952877445904e-09,6.220009081866686e-09,7.204101463524782e-09,6.321487888705832e-09,7.311207639305134e-09,6.632668155445404e-09,7.684158874014988e-09
2025-06-18 16:00:00,51.9999999999999,0.6999999999999883,0,0001,1.0,6.378144679076136e-09,7.446427030544688e-09,6.4471982937542554e-09,7.52055239379947e-09,6.607285626033629e-09,7.729788401948713e-09,6.767372958313039e-09,7.939024410098003e-09
2025-06-18 16:00:00,51.8999999999999,0.5999999999999883,0,0001,1.0,6.695981250952595e-09,7.730499573811117e-09,6.695981250952594e-09,7.730499573811115e-09,6.797460057791612e-09,7.837605749591328e-09,7.124902547580745e-09,8.22572597305137e-09
2025-06-18 16:00:00,51.19999999999989,0.29999999999998833,0,0001,1.0,1.0118946717580332e-08,1.1417147671724084e-08,1.047236157514404e-08,1.1770997005816624e-08,1.070074578021019e-08,1.2004738083235904e-08,1.09291299852763e-08,1.2238479160655145e-08
2025-06-18 16:00:00,51.19999999999989,0.39999999999998836,0,0001,1.0,1.0294632701859508e-08,1.1650148401545401e-08,1.050298263176042e-08,1.1854251099250778e-08,1.0711332561661786e-08,1.2058353796956592e-08,1.091968249156315e-08,1.2262456494662408e-08
2025-06-18 16:00:00,51.09999999999989,0.29999999999998833,0,0001,1.0,1.170513060552012e-08,1.3088030622242272e-08,1.170513060552012e-08,1.3088030622242272e-08,1.1893442115423624e-08,1.329653959621739e-08,1.2081753625327125e-08,1.3505048570192874e-08
